region	trait_pair	eur_h4	afr_h4	expected_afr	residual	power_ratio	classification
8:131750000-133250000	t2d-asthma	0.0522	0.0133	0.0444	-0.0311	57.953	CONCORDANT_NULL
2:66750000-68250000	t2d-stroke	0.0468	0.0033	0.0297	-0.0264	0.557	CONCORDANT_NULL
6:149750000-158250000	t2d-stroke	0.0455	0.0423	0.0313	0.0110	0.654	CONCORDANT_NULL
4:5750000-7250000	t2d-asthma	0.0451	0.0350	0.0383	-0.0033	59.431	CONCORDANT_NULL
1:9750000-13250000	t2d-stroke	0.0451	0.0091	0.0312	-0.0221	0.660	CONCORDANT_NULL
4:47750000-50250000	t2d-stroke	0.0434	0.0020	0.0310	-0.0290	0.706	CONCORDANT_NULL
2:202750000-209250000	stroke-asthma	0.0428	0.0152	0.0364	-0.0212	74.053	CONCORDANT_NULL
11:34750000-36250000	t2d-stroke	0.0410	0.0066	0.0287	-0.0221	0.679	CONCORDANT_NULL
14:90750000-95250000	stroke-asthma	0.0402	0.0255	0.0342	-0.0087	62.713	CONCORDANT_NULL
7:124750000-128250000	t2d-asthma	0.0396	0.0269	0.0337	-0.0068	69.247	CONCORDANT_NULL
6:159750000-165250000	t2d-stroke	0.0396	0.0226	0.0272	-0.0046	0.653	CONCORDANT_NULL
2:7750000-10250000	t2d-stroke	0.0383	0.0205	0.0259	-0.0054	0.633	CONCORDANT_NULL
7:0-4250000	t2d-stroke	0.0380	0.0072	0.0264	-0.0192	0.667	CONCORDANT_NULL
3:110750000-120250000	t2d-stroke	0.0380	0.0137	0.0254	-0.0117	0.619	CONCORDANT_NULL
6:136750000-138250000	t2d-stroke	0.0378	0.0032	0.0263	-0.0231	0.672	CONCORDANT_NULL
10:61750000-67250000	t2d-stroke	0.0363	0.0733	0.0241	0.0492	0.612	CONCORDANT_NULL
9:20750000-24250000	stroke-asthma	0.0350	0.0147	0.0298	-0.0151	35.364	CONCORDANT_NULL
16:88750000-91250000	t2d-stroke	0.0332	0.0038	0.0219	-0.0181	0.602	CONCORDANT_NULL
14:37750000-39250000	t2d-asthma	0.0322	0.0255	0.0274	-0.0019	69.948	CONCORDANT_NULL
2:21750000-23250000	t2d-asthma	0.0315	0.0118	0.0268	-0.0150	65.967	CONCORDANT_NULL
11:110750000-123250000	t2d-stroke	0.0309	0.0558	0.0210	0.0348	0.642	CONCORDANT_NULL
17:67750000-69250000	t2d-stroke	0.0304	0.0033	0.0208	-0.0175	0.647	CONCORDANT_NULL
14:28750000-32250000	t2d-stroke	0.0304	0.0073	0.0205	-0.0132	0.630	CONCORDANT_NULL
2:154750000-160250000	t2d-stroke	0.0300	0.0185	0.0185	0.0000	0.526	CONCORDANT_NULL
18:68750000-70250000	t2d-asthma	0.0299	0.0164	0.0254	-0.0090	57.459	CONCORDANT_NULL
21:38750000-47250000	t2d-stroke	0.0293	0.0170	0.0203	-0.0033	0.667	CONCORDANT_NULL
12:37750000-40250000	t2d-asthma	0.0291	0.0515	0.0247	0.0268	57.456	CONCORDANT_NULL
7:48750000-52250000	t2d-asthma	0.0279	0.0302	0.0237	0.0065	61.544	CONCORDANT_NULL
3:7750000-17250000	t2d-asthma	0.0277	0.0734	0.0235	0.0499	56.304	CONCORDANT_NULL
3:69750000-71250000	t2d-stroke	0.0275	0.0063	0.0202	-0.0139	0.744	CONCORDANT_NULL
4:93750000-97250000	t2d-asthma	0.0274	0.0242	0.0233	0.0009	54.464	CONCORDANT_NULL
1:64750000-68250000	t2d-stroke	0.0264	0.0097	0.0176	-0.0079	0.616	CONCORDANT_NULL
15:45750000-50250000	t2d-asthma	0.0248	0.0350	0.0211	0.0139	75.307	CONCORDANT_NULL
6:16750000-36250000	t2d-stroke	0.0230	0.5436	0.0159	0.5277	0.662	AFR_ENRICHED
20:38750000-46250000	t2d-stroke	0.0223	0.0491	0.0154	0.0337	0.659	CONCORDANT_NULL
3:126750000-129250000	t2d-asthma	0.0222	0.0268	0.0189	0.0079	62.692	CONCORDANT_NULL
4:93750000-97250000	t2d-stroke	0.0221	0.0125	0.0147	-0.0022	0.610	CONCORDANT_NULL
15:56750000-64250000	t2d-stroke	0.0221	0.0214	0.0153	0.0061	0.660	CONCORDANT_NULL
5:129750000-134250000	t2d-asthma	0.0220	0.0308	0.0187	0.0121	66.259	CONCORDANT_NULL
10:7750000-10250000	t2d-asthma	0.0217	0.0182	0.0184	-0.0002	64.671	CONCORDANT_NULL
22:27750000-33250000	t2d-stroke	0.0213	0.0086	0.0136	-0.0050	0.566	CONCORDANT_NULL
5:72750000-78250000	t2d-stroke	0.0212	0.0293	0.0150	0.0143	0.692	CONCORDANT_NULL
4:70750000-72250000	t2d-stroke	0.0212	0.0111	0.0150	-0.0039	0.695	CONCORDANT_NULL
17:54750000-58250000	t2d-stroke	0.0211	0.0064	0.0138	-0.0074	0.595	CONCORDANT_NULL
6:750000-2250000	t2d-stroke	0.0210	0.0068	0.0135	-0.0067	0.573	CONCORDANT_NULL
3:40750000-54250000	t2d-stroke	0.0207	0.0233	0.0146	0.0087	0.684	CONCORDANT_NULL
11:12750000-15250000	t2d-stroke	0.0206	0.0194	0.0142	0.0052	0.662	CONCORDANT_NULL
8:79750000-83250000	t2d-asthma	0.0206	0.0280	0.0175	0.0105	60.461	CONCORDANT_NULL
2:217750000-221250000	t2d-asthma	0.0205	0.0264	0.0174	0.0090	67.806	CONCORDANT_NULL
16:0-1250000	t2d-stroke	0.0203	0.0504	0.0141	0.0363	0.671	CONCORDANT_NULL
7:23750000-29250000	t2d-stroke	0.0197	0.0214	0.0133	0.0081	0.630	CONCORDANT_NULL
11:53750000-59250000	t2d-stroke	0.0189	0.0097	0.0127	-0.0030	0.622	CONCORDANT_NULL
17:72750000-74250000	t2d-stroke	0.0188	0.0050	0.0129	-0.0079	0.653	CONCORDANT_NULL
