region_safe	region_id	source	notes
r00120__sub08_4_97157130_108000203	m2_region_00120__sub08	m2_union	synthetic slug; M2 region union
r00120__sub09_4_102000203_112843276	m2_region_00120__sub09	m2_union	synthetic slug; M2 region union
r00120__sub10_4_106843276_117686349	m2_region_00120__sub10	m2_union	synthetic slug; M2 region union
r00120__sub11_4_111686349_122529422	m2_region_00120__sub11	m2_union	synthetic slug; M2 region union
r00120__sub12_4_116529422_127372495	m2_region_00120__sub12	m2_union	synthetic slug; M2 region union
r00120__sub13_4_121372495_132215568	m2_region_00120__sub13	m2_union	synthetic slug; M2 region union
r00120__sub14_4_126215568_137058641	m2_region_00120__sub14	m2_union	synthetic slug; M2 region union
r00120__sub15_4_131058641_141901714	m2_region_00120__sub15	m2_union	synthetic slug; M2 region union
r00120__sub16_4_135901714_146744787	m2_region_00120__sub16	m2_union	synthetic slug; M2 region union
r00120__sub17_4_140744787_151587860	m2_region_00120__sub17	m2_union	synthetic slug; M2 region union
r00120__sub18_4_145587860_156430933	m2_region_00120__sub18	m2_union	synthetic slug; M2 region union
r00120__sub19_4_150430933_161274006	m2_region_00120__sub19	m2_union	synthetic slug; M2 region union
r00120__sub20_4_155274006_163117089	m2_region_00120__sub20	m2_union	synthetic slug; M2 region union
r00121_4_163384737_167007951	m2_region_00121	m2_union	synthetic slug; M2 region union
r00122_4_167078804_175651112	m2_region_00122	m2_union	synthetic slug; M2 region union
r00123_4_175918821_182168256	m2_region_00123	m2_union	synthetic slug; M2 region union
r00124_4_182267251_190123093	m2_region_00124	m2_union	synthetic slug; M2 region union
r00125_5_10000_7691940	m2_region_00125	m2_union	synthetic slug; M2 region union
r00126_5_8132077_10541754	m2_region_00126	m2_union	synthetic slug; M2 region union
r00127_5_12149565_15001728	m2_region_00127	m2_union	synthetic slug; M2 region union
r00128_5_16276877_19131646	m2_region_00128	m2_union	synthetic slug; M2 region union
r00129_5_19953543_24068603	m2_region_00129	m2_union	synthetic slug; M2 region union
r00130_5_24412010_29547404	m2_region_00130	m2_union	synthetic slug; M2 region union
r00131_5_30893758_36989704	m2_region_00131	m2_union	synthetic slug; M2 region union
r00132_5_37378381_45812464	m2_region_00132	m2_union	synthetic slug; M2 region union
r00133_5_50110622_65872365	m2_region_00133	m2_union	synthetic slug; M2 region union
r00134_5_65896143_70402341	m2_region_00134	m2_union	synthetic slug; M2 region union
r00135_5_70722124_99331156	m2_region_00135	m2_union	synthetic slug; M2 region union
r00136_5_100283380_121036838	m2_region_00136	m2_union	synthetic slug; M2 region union
r00137_5_121039130_160574292	m2_region_00137	m2_union	synthetic slug; M2 region union
r00138_5_161299761_174929749	m2_region_00138	m2_union	synthetic slug; M2 region union
r00139_5_175721765_178404118	m2_region_00139	m2_union	synthetic slug; M2 region union
r00140_5_178729448_181478042	m2_region_00140	m2_union	synthetic slug; M2 region union
r00141_6_60000_2616909	m2_region_00141	m2_union	synthetic slug; M2 region union
r00142_6_4043310_14189044	m2_region_00142	m2_union	synthetic slug; M2 region union
r00143_6_14557405_58453775	m2_region_00143	m2_union	synthetic slug; M2 region union
r00144_6_61281844_67914447	m2_region_00144	m2_union	synthetic slug; M2 region union
r00145__sub00_6_68202078_76085092	m2_region_00145__sub00	m2_union	synthetic slug; M2 region union
r00145__sub01_6_70085092_80968106	m2_region_00145__sub01	m2_union	synthetic slug; M2 region union
r00145__sub02_6_74968106_85851120	m2_region_00145__sub02	m2_union	synthetic slug; M2 region union
r00145__sub03_6_79851120_90734134	m2_region_00145__sub03	m2_union	synthetic slug; M2 region union
r00145__sub04_6_84734134_95617148	m2_region_00145__sub04	m2_union	synthetic slug; M2 region union
r00145__sub05_6_89617148_100500162	m2_region_00145__sub05	m2_union	synthetic slug; M2 region union
r00145__sub06_6_94500162_105383176	m2_region_00145__sub06	m2_union	synthetic slug; M2 region union
r00145__sub07_6_99383176_110266190	m2_region_00145__sub07	m2_union	synthetic slug; M2 region union
r00145__sub08_6_104266190_115149204	m2_region_00145__sub08	m2_union	synthetic slug; M2 region union
r00145__sub09_6_109149204_120032218	m2_region_00145__sub09	m2_union	synthetic slug; M2 region union
r00145__sub10_6_114032218_124915232	m2_region_00145__sub10	m2_union	synthetic slug; M2 region union
r00145__sub11_6_118915232_129798246	m2_region_00145__sub11	m2_union	synthetic slug; M2 region union
r00145__sub12_6_123798246_134681260	m2_region_00145__sub12	m2_union	synthetic slug; M2 region union
r00145__sub13_6_128681260_139564274	m2_region_00145__sub13	m2_union	synthetic slug; M2 region union
r00145__sub14_6_133564274_144447288	m2_region_00145__sub14	m2_union	synthetic slug; M2 region union
r00145__sub15_6_138447288_149330302	m2_region_00145__sub15	m2_union	synthetic slug; M2 region union
r00145__sub16_6_143330302_154213316	m2_region_00145__sub16	m2_union	synthetic slug; M2 region union
r00145__sub17_6_148213316_159096330	m2_region_00145__sub17	m2_union	synthetic slug; M2 region union
r00145__sub18_6_153096330_163979344	m2_region_00145__sub18	m2_union	synthetic slug; M2 region union
r00145__sub19_6_157979344_168862358	m2_region_00145__sub19	m2_union	synthetic slug; M2 region union
r00145__sub20_6_162862358_170745387	m2_region_00145__sub20	m2_union	synthetic slug; M2 region union
r00146__sub00_7_10000_7842020	m2_region_00146__sub00	m2_union	synthetic slug; M2 region union
r00146__sub01_7_1842020_12674040	m2_region_00146__sub01	m2_union	synthetic slug; M2 region union
r00146__sub02_7_6674040_17506060	m2_region_00146__sub02	m2_union	synthetic slug; M2 region union
r00146__sub03_7_11506060_22338080	m2_region_00146__sub03	m2_union	synthetic slug; M2 region union
r00146__sub04_7_16338080_27170100	m2_region_00146__sub04	m2_union	synthetic slug; M2 region union
r00146__sub05_7_21170100_32002120	m2_region_00146__sub05	m2_union	synthetic slug; M2 region union
r00146__sub06_7_26002120_36834140	m2_region_00146__sub06	m2_union	synthetic slug; M2 region union
r00146__sub07_7_30834140_41666160	m2_region_00146__sub07	m2_union	synthetic slug; M2 region union
r00146__sub08_7_35666160_46498180	m2_region_00146__sub08	m2_union	synthetic slug; M2 region union
r00146__sub09_7_40498180_51330200	m2_region_00146__sub09	m2_union	synthetic slug; M2 region union
r00146__sub10_7_45330200_56162220	m2_region_00146__sub10	m2_union	synthetic slug; M2 region union
r00146__sub11_7_50162220_57994244	m2_region_00146__sub11	m2_union	synthetic slug; M2 region union
r00147_7_62151190_68593036	m2_region_00147	m2_union	synthetic slug; M2 region union
r00148_7_68805662_84330688	m2_region_00148	m2_union	synthetic slug; M2 region union
r00149_7_84461687_132935087	m2_region_00149	m2_union	synthetic slug; M2 region union
r00150_7_133295041_144395176	m2_region_00150	m2_union	synthetic slug; M2 region union
r00151_7_144698678_152718451	m2_region_00151	m2_union	synthetic slug; M2 region union
r00152_7_153504768_159335159	m2_region_00152	m2_union	synthetic slug; M2 region union
r00153_8_415488_35662001	m2_region_00153	m2_union	synthetic slug; M2 region union
r00154_8_35850672_43744346	m2_region_00154	m2_union	synthetic slug; M2 region union
r00155_8_45927589_62582329	m2_region_00155	m2_union	synthetic slug; M2 region union
r00156_8_62596395_77617230	m2_region_00156	m2_union	synthetic slug; M2 region union
r00157_8_78195137_108449599	m2_region_00157	m2_union	synthetic slug; M2 region union
r00158_8_109128298_145077831	m2_region_00158	m2_union	synthetic slug; M2 region union
r00159_9_10000_26281229	m2_region_00159	m2_union	synthetic slug; M2 region union
r00160_9_26612920_39396005	m2_region_00160	m2_union	synthetic slug; M2 region union
r00161__sub00_9_65167510_73040520	m2_region_00161__sub00	m2_union	synthetic slug; M2 region union
r00161__sub01_9_67040520_77913530	m2_region_00161__sub01	m2_union	synthetic slug; M2 region union
r00161__sub02_9_71913530_82786540	m2_region_00161__sub02	m2_union	synthetic slug; M2 region union
r00161__sub03_9_76786540_87659550	m2_region_00161__sub03	m2_union	synthetic slug; M2 region union
r00161__sub04_9_81659550_92532560	m2_region_00161__sub04	m2_union	synthetic slug; M2 region union
r00161__sub05_9_86532560_97405570	m2_region_00161__sub05	m2_union	synthetic slug; M2 region union
r00161__sub06_9_91405570_102278580	m2_region_00161__sub06	m2_union	synthetic slug; M2 region union
r00161__sub07_9_96278580_107151590	m2_region_00161__sub07	m2_union	synthetic slug; M2 region union
r00161__sub08_9_101151590_112024600	m2_region_00161__sub08	m2_union	synthetic slug; M2 region union
r00161__sub09_9_106024600_116897610	m2_region_00161__sub09	m2_union	synthetic slug; M2 region union
r00161__sub10_9_110897610_121770620	m2_region_00161__sub10	m2_union	synthetic slug; M2 region union
r00161__sub11_9_115770620_126643630	m2_region_00161__sub11	m2_union	synthetic slug; M2 region union
r00161__sub12_9_120643630_131516640	m2_region_00161__sub12	m2_union	synthetic slug; M2 region union
r00161__sub13_9_125516640_136389650	m2_region_00161__sub13	m2_union	synthetic slug; M2 region union
r00161__sub14_9_130389650_138262671	m2_region_00161__sub14	m2_union	synthetic slug; M2 region union
