region_id	ancestry	region_class	window_span_mb	n_var	routed_path	est_block_count	est_output_gib	over_threshold
m2_region_00089	AFR	large	27.5984	179355	A.3	968.0	64.33643205	True
m2_region_00089	EUR	large	27.5984	97869	A.3	288.0	19.156682322	True
m2_region_00090	AFR	medium	5.9039	48116	A.2	72.0	4.630298912	False
m2_region_00090	EUR	medium	5.9039	25020	A.2	24.5	1.2520008	False
m2_region_00091	AFR	medium	10.7066	80143	A.3	200.0	12.845800898	True
m2_region_00091	EUR	medium	10.7066	38340	A.3	50.0	2.9399112	False
m2_region_00092	AFR	medium	8.3974	55210	A.2	98.0	6.0962882	False
m2_region_00092	EUR	medium	8.3974	31026	A.2	32.0	1.925225352	False
m2_region_00093	AFR	large	35.8987	251167	A.3	1922.0	126.169723778	True
m2_region_00093	EUR	large	35.8987	142502	A.3	612.5	40.613640008	True
m2_region_00094	AFR	small	3.5206	23414	A.1	18.0	1.096430792	False
m2_region_00094	EUR	small	3.5206	12993	A.1	8.0	0.337636098	False
m2_region_00095	AFR	small	4.5078	29102	A.1	32.0	1.693852808	False
m2_region_00095	EUR	small	4.5078	13588	A.1	8.0	0.369267488	False
m2_region_00096	AFR	large	40.6539	294413	A.3	2592.0	173.358029138	True
m2_region_00096	EUR	large	40.6539	161378	A.3	800.0	52.085717768	True
m2_region_00097	AFR	medium	7.2542	62994	A.2	128.0	7.936488072	False
m2_region_00097	EUR	medium	7.2542	33822	A.2	40.5	2.287855368	False
m2_region_00098	AFR	large	26.2592	210531	A.3	1352.0	88.646603922	True
m2_region_00098	EUR	large	26.2592	117134	A.3	420.5	27.440747912	True
m2_region_00099	AFR	large	34.1486	258119	A.3	2048.0	133.250836322	True
m2_region_00099	EUR	large	34.1486	137470	A.3	578.0	37.7960018	True
m2_region_00100	AFR	medium	5.2476	45349	A.2	72.0	4.113063602	False
m2_region_00100	EUR	medium	5.2476	24039	A.2	18.0	1.155747042	False
m2_region_00101	AFR	small	4.5231	42058	A.1	60.5	3.537750728	False
m2_region_00101	EUR	small	4.5231	22879	A.1	18.0	1.046897282	False
m2_region_00102	AFR	small	2.3608	19264	A.1	12.5	0.742203392	False
m2_region_00102	EUR	small	2.3608	10881	A.1	4.5	0.236792322	False
m2_region_00103	AFR	small	2.7994	24088	A.1	18.0	1.160463488	False
