pathway	magma_beta	magma_p	magma_q	gprofiler_p	gprofiler_q	ldsc_h2_frac	ldsc_enrichment	ldsc_p	n_methods_significant	geometric_mean_p	consensus_rank
GOBP_REGULATION_OF_CELLULAR_...1	0.2061	0.000002	0.000761	NA	NA	NA	NA	NA	1	0.000002	183
GOBP_REGULATION_OF_CELL_DIFF...	0.1294	0.000002	0.000156	NA	NA	NA	NA	NA	1	0.000002	184
GOBP_REGULATION_OF_CELL_POPU...	0.1716	0.000002	0.001243	NA	NA	NA	NA	NA	1	0.000002	185
GOBP_REGULATION_OF_MUSCLE_SY...	0.4289	0.000002	0.001243	NA	NA	NA	NA	NA	1	0.000002	186
GOBP_RESPONSE_TO_INTERLEUKIN...3	1.7764	0.000002	0.000133	NA	NA	NA	NA	NA	1	0.000002	187
GOBP_T_CELL_DIFFERENTIATION_...2	0.4920	0.000002	0.000174	NA	NA	NA	NA	NA	1	0.000002	188
GOBP_T_CELL_LINEAGE_COMMITME...	0.7536	0.000002	0.000169	NA	NA	NA	NA	NA	1	0.000002	189
KEGG_CYTOKINE_CYTOKINE_RECEP...	0.3352	0.000002	0.000182	NA	NA	NA	NA	NA	1	0.000002	190
KEGG_T_CELL_RECEPTOR_SIGNALI...	0.4896	0.000002	0.000138	NA	NA	NA	NA	NA	1	0.000002	191
REACTOME_SIGNALING_BY_WNT	0.3860	0.000002	0.001243	NA	NA	NA	NA	NA	1	0.000002	192
Enhancer_HoffmanL2_0	NA	NA	NA	NA	NA	0.126611	3.0201	0.000003	1	0.000003	193
GOBP_BLOOD_VESSEL_MORPHOGENE...	0.2673	0.000003	0.001294	NA	NA	NA	NA	NA	1	0.000003	194
GOBP_CARDIOCYTE_DIFFERENTIAT...	0.5388	0.000003	0.001307	NA	NA	NA	NA	NA	1	0.000003	195
GOBP_CD4_POSITIVE_OR_CD8_POS...	0.7724	0.000003	0.000241	NA	NA	NA	NA	NA	1	0.000003	196
GOBP_INSULIN_SECRETION	0.3421	0.000003	0.001553	NA	NA	NA	NA	NA	1	0.000003	197
GOBP_MEMBRANE_DEPOLARIZATION...2	3.2608	0.000003	0.001294	NA	NA	NA	NA	NA	1	0.000003	198
GOBP_NEGATIVE_REGULATION_OF_...311	0.9586	0.000003	0.000218	NA	NA	NA	NA	NA	1	0.000003	199
GOBP_NEGATIVE_REGULATION_OF_...557	0.2372	0.000003	0.000197	NA	NA	NA	NA	NA	1	0.000003	200
GOBP_NEPHRON_EPITHELIUM_DEVE...	0.6221	0.000003	0.001360	NA	NA	NA	NA	NA	1	0.000003	201
GOBP_POSTSYNAPTIC_SPECIALIZA...2	0.9017	0.000003	0.001108	NA	NA	NA	NA	NA	1	0.000003	202
GOBP_REGULATION_OF_CARDIOCYT...	1.2345	0.000003	0.001294	NA	NA	NA	NA	NA	1	0.000003	203
GOBP_REGULATION_OF_CELL_CELL...1	0.2159	0.000003	0.000218	NA	NA	NA	NA	NA	1	0.000003	204
GOBP_STOMACH_DEVELOPMENT	2.2887	0.000003	0.001510	NA	NA	NA	NA	NA	1	0.000003	205
GOBP_TUBE_DEVELOPMENT	0.2031	0.000003	0.001294	NA	NA	NA	NA	NA	1	0.000003	206
REACTOME_INTERLEUKIN_21_SIGN...	1.6134	0.000003	0.000230	NA	NA	NA	NA	NA	1	0.000003	207
REACTOME_TNFS_BIND_THEIR_PHY...	0.9542	0.000003	0.000231	NA	NA	NA	NA	NA	1	0.000003	208
GOBP_DEVELOPMENTAL_GROWTH	0.1922	0.000004	0.001726	NA	NA	NA	NA	NA	1	0.000004	209
GOBP_ENDOCRINE_SYSTEM_DEVELO...	0.4241	0.000004	0.000291	NA	NA	NA	NA	NA	1	0.000004	210
GOBP_NEURON_DEVELOPMENT	0.1961	0.000004	0.001447	NA	NA	NA	NA	NA	1	0.000004	211
GOBP_POSITIVE_REGULATION_OF_...432	1.9305	0.000004	0.000319	NA	NA	NA	NA	NA	1	0.000004	212
GOBP_REGULATION_OF_MIRNA_MET...	0.5235	0.000004	0.000291	NA	NA	NA	NA	NA	1	0.000004	213
GOBP_REGULATION_OF_TYROSINE_...	0.7965	0.000004	0.000291	NA	NA	NA	NA	NA	1	0.000004	214
H3K4me1_peaks_TrynkaL2_0	NA	NA	NA	NA	NA	0.499546	2.9582	0.000004	1	0.000004	215
H3K4me3_peaks_TrynkaL2_0	NA	NA	NA	NA	NA	0.221833	5.3624	0.000004	1	0.000004	216
GOBP_B_CELL_DIFFERENTIATION	0.3891	0.000005	0.000349	NA	NA	NA	NA	NA	1	0.000005	217
